transaction_id,user_id,date,category,subcategory,amount,necessity_level,emotion_type,payment_type,product_id
1,1,2023-09-30,Education,Student loan payment,70378.44,4,Routine,Cash,205.0
2,1,2024-10-24,Healthcare,Insurance payment,3967768.8,3,Planned,Transfer,208.0
3,1,2025-01-03,Healthcare,Insurance payment,2048927.51,5,Routine,Card,208.0
4,1,2024-02-01,Personal needs,Consumer loan payment,3947667.29,5,Routine,Cash,204.0
5,1,2024-07-26,Healthcare,Insurance payment,1063086.26,5,Rational,Cash,208.0
6,1,2024-04-11,Property,Mortgage payment,4737250.0,4,Routine,Transfer,201.0
7,1,2025-08-26,Card,Card replenishment,1319156.08,4,Rational,Cash,207.0
8,1,2024-09-18,Personal needs,Consumer loan payment,1877142.75,3,Planned,Transfer,204.0
9,1,2024-10-19,Card,Card replenishment,944293.09,4,Routine,Transfer,207.0
10,1,2025-06-10,Auto,Auto loan installment,1139862.23,3,Routine,Transfer,202.0
11,1,2024-08-07,Personal needs,Consumer loan payment,1520228.73,5,Routine,Transfer,204.0
12,1,2025-08-06,Property,Mortgage payment,4023105.37,4,Routine,Transfer,201.0
13,1,2024-12-05,Healthcare,Insurance payment,1223033.9,4,Planned,Cash,208.0
14,1,2025-07-07,Deposit,Account top-up,2313989.63,4,Routine,Transfer,206.0
15,1,2023-02-08,Property,Mortgage payment,1099791.68,3,Planned,Card,201.0
16,1,2023-03-08,Healthcare,Insurance payment,2872506.12,4,Routine,Cash,208.0
17,1,2023-01-03,Property,Mortgage payment,968561.91,3,Routine,Card,201.0
18,1,2023-07-04,Property,Mortgage payment,1297260.94,4,Routine,Cash,201.0
19,1,2025-04-06,Healthcare,Insurance payment,1962403.06,5,Rational,Card,208.0
20,1,2024-04-21,Card,Card replenishment,3105061.84,5,Routine,Cash,207.0
21,1,2023-11-14,Education,Student loan payment,3287174.68,3,Rational,Transfer,205.0
22,1,2025-06-29,Property,Mortgage payment,3773653.75,5,Planned,Cash,201.0
23,1,2023-12-02,Auto,Auto loan installment,1313655.36,3,Routine,Card,202.0
24,1,2025-03-22,Deposit,Account top-up,3426795.72,4,Routine,Card,206.0
25,1,2023-12-25,Healthcare,Insurance payment,3429646.95,4,Rational,Transfer,208.0
26,1,2023-09-01,Card,Card replenishment,2342914.1,5,Rational,Card,207.0
27,1,2023-05-29,Card,Card replenishment,1869937.46,5,Rational,Transfer,207.0
28,1,2025-02-06,Deposit,Account top-up,2429352.21,3,Planned,Cash,206.0
29,1,2024-07-13,Charity,Zakat payment,30368.78,5,Routine,Card,
30,1,2024-10-10,Healthcare,Insurance payment,2983107.17,3,Routine,Transfer,208.0
31,1,2025-05-04,Card,Card replenishment,586605.19,3,Planned,Card,207.0
32,1,2024-09-24,Business,Business credit payment,4364931.2,3,Rational,Transfer,203.0
33,1,2023-11-27,Card,Card replenishment,1589789.38,4,Routine,Cash,207.0
34,1,2025-01-06,Personal needs,Consumer loan payment,1044145.4,4,Routine,Transfer,204.0
35,1,2024-09-03,Auto,Auto loan installment,1389592.61,4,Routine,Cash,202.0
36,1,2024-12-16,Healthcare,Insurance payment,301598.75,4,Rational,Transfer,208.0
37,1,2024-02-02,Healthcare,Insurance payment,4656909.45,5,Planned,Card,208.0
38,1,2024-01-27,Charity,Zakat payment,6607.53,3,Rational,Cash,
39,1,2023-06-08,Personal needs,Consumer loan payment,4529353.48,5,Routine,Cash,204.0
40,1,2025-08-12,Education,Student loan payment,708778.11,4,Routine,Cash,205.0
41,1,2025-01-14,Business,Business credit payment,4333801.63,3,Routine,Transfer,203.0
42,1,2023-04-09,Business,Business credit payment,1318546.09,5,Planned,Transfer,203.0
43,1,2024-05-18,Auto,Auto loan installment,355311.57,4,Rational,Cash,202.0
44,1,2023-08-20,Card,Card replenishment,3722469.85,4,Rational,Transfer,207.0
45,1,2024-09-04,Healthcare,Insurance payment,4348961.13,5,Routine,Cash,208.0
46,1,2023-05-07,Auto,Auto loan installment,3015933.29,5,Planned,Card,202.0
47,1,2024-09-16,Education,Student loan payment,2857041.21,5,Planned,Cash,205.0
48,1,2023-06-12,Charity,Zakat payment,71347.84,4,Rational,Cash,
49,1,2025-10-15,Education,Student loan payment,4231562.92,5,Planned,Card,205.0
50,1,2025-03-03,Healthcare,Insurance payment,1535197.4,4,Rational,Cash,208.0
51,1,2025-05-18,Property,Mortgage payment,2448134.98,4,Routine,Cash,201.0
52,1,2025-01-31,Auto,Auto loan installment,3344056.03,5,Routine,Card,202.0
53,1,2023-11-23,Education,Student loan payment,2810552.17,3,Routine,Transfer,205.0
54,1,2023-06-14,Education,Student loan payment,2922169.9,5,Routine,Transfer,205.0
55,1,2025-01-01,Card,Card replenishment,2694796.49,5,Routine,Cash,207.0
56,1,2025-03-06,Card,Card replenishment,1436838.87,4,Planned,Card,207.0
57,1,2023-10-16,Deposit,Account top-up,2838587.2,5,Routine,Card,206.0
58,1,2024-01-14,Education,Student loan payment,2542874.27,4,Routine,Cash,205.0
59,1,2023-02-19,Deposit,Account top-up,4777979.39,4,Rational,Card,206.0
60,1,2023-05-05,Card,Card replenishment,4444128.7,3,Routine,Transfer,207.0
61,1,2023-02-23,Business,Business credit payment,4565059.63,4,Planned,Card,203.0
62,1,2024-08-19,Property,Mortgage payment,1168718.92,5,Planned,Cash,201.0
63,1,2023-03-24,Auto,Auto loan installment,2614131.87,4,Planned,Card,202.0
64,1,2024-09-03,Education,Student loan payment,115069.3,4,Routine,Card,205.0
65,1,2023-01-13,Education,Student loan payment,4377732.41,4,Rational,Transfer,205.0
66,1,2024-07-02,Auto,Auto loan installment,3120207.57,4,Rational,Cash,202.0
67,1,2023-07-16,Personal needs,Consumer loan payment,1146195.01,5,Rational,Card,204.0
68,1,2025-07-08,Education,Student loan payment,907555.18,4,Routine,Transfer,205.0
69,1,2024-09-10,Healthcare,Insurance payment,3219346.02,4,Routine,Transfer,208.0
70,1,2024-09-17,Card,Card replenishment,3575427.03,5,Rational,Transfer,207.0
71,1,2025-06-23,Education,Student loan payment,1427868.27,4,Planned,Transfer,205.0
72,1,2023-04-24,Auto,Auto loan installment,104532.18,5,Planned,Transfer,202.0
73,1,2025-06-18,Deposit,Account top-up,3884951.28,5,Routine,Cash,206.0
74,1,2025-10-12,Deposit,Account top-up,2866093.23,5,Routine,Transfer,206.0
75,1,2024-07-09,Healthcare,Insurance payment,3550879.83,5,Planned,Transfer,208.0
76,1,2023-02-01,Deposit,Account top-up,4307741.48,5,Planned,Card,206.0
77,1,2023-11-21,Deposit,Account top-up,3432058.18,4,Rational,Card,206.0
78,1,2025-05-22,Property,Mortgage payment,1239886.92,3,Routine,Cash,201.0
79,1,2023-02-17,Auto,Auto loan installment,1493504.62,5,Rational,Transfer,202.0
80,1,2023-08-12,Personal needs,Consumer loan payment,3550016.4,5,Planned,Transfer,204.0
81,1,2024-08-31,Personal needs,Consumer loan payment,187392.92,5,Planned,Card,204.0
82,1,2023-07-09,Healthcare,Insurance payment,950232.25,3,Planned,Card,208.0
83,1,2023-06-01,Business,Business credit payment,4159570.0,3,Planned,Card,203.0
84,1,2025-03-25,Education,Student loan payment,1131599.25,4,Planned,Transfer,205.0
85,1,2025-01-08,Charity,Zakat payment,41042.86,4,Rational,Cash,
86,1,2024-12-14,Healthcare,Insurance payment,3093179.9,5,Routine,Transfer,208.0
87,1,2023-06-23,Education,Student loan payment,3070438.16,5,Rational,Cash,205.0
88,1,2024-02-16,Education,Student loan payment,1966548.36,4,Planned,Card,205.0
89,1,2024-05-14,Business,Business credit payment,763355.68,3,Rational,Cash,203.0
90,1,2025-02-09,Property,Mortgage payment,1170437.68,4,Planned,Card,201.0
91,1,2025-02-15,Healthcare,Insurance payment,3979927.29,3,Routine,Transfer,208.0
92,1,2023-04-09,Property,Mortgage payment,1115927.62,5,Rational,Cash,201.0
93,1,2025-02-06,Property,Mortgage payment,1920037.61,3,Rational,Card,201.0
94,1,2023-06-23,Deposit,Account top-up,4939569.75,3,Routine,Card,206.0
95,1,2024-10-29,Education,Student loan payment,1912061.65,3,Rational,Card,205.0
96,1,2025-04-21,Property,Mortgage payment,3135952.76,3,Planned,Transfer,201.0
97,1,2024-09-03,Auto,Auto loan installment,1805680.77,4,Routine,Card,202.0
98,1,2024-10-27,Education,Student loan payment,82705.13,5,Planned,Cash,205.0
99,1,2025-09-07,Property,Mortgage payment,1875058.77,4,Planned,Cash,201.0
100,1,2025-08-29,Personal needs,Consumer loan payment,4585223.28,5,Rational,Transfer,204.0
101,1,2024-08-19,Healthcare,Insurance payment,90478.7,3,Routine,Card,208.0
102,1,2025-07-17,Deposit,Account top-up,2702768.39,4,Planned,Card,206.0
103,1,2023-11-02,Deposit,Account top-up,2683910.29,5,Planned,Cash,206.0
104,1,2024-07-02,Education,Student loan payment,3243117.33,3,Rational,Cash,205.0
105,1,2025-06-21,Business,Business credit payment,2206594.17,4,Planned,Cash,203.0
106,1,2023-12-10,Education,Student loan payment,4067671.32,3,Planned,Cash,205.0
107,1,2024-09-05,Education,Student loan payment,2566296.73,3,Rational,Card,205.0
108,1,2023-01-16,Business,Business credit payment,4942691.48,5,Rational,Card,203.0
109,1,2025-07-05,Personal needs,Consumer loan payment,4970748.07,5,Planned,Transfer,204.0
110,1,2023-10-03,Business,Business credit payment,4077678.77,5,Planned,Transfer,203.0
111,1,2024-02-15,Charity,Zakat payment,25940.2,4,Planned,Transfer,
112,1,2024-01-22,Business,Business credit payment,650053.64,3,Routine,Transfer,203.0
113,1,2023-08-16,Business,Business credit payment,4558354.24,5,Rational,Transfer,203.0
114,1,2025-05-19,Card,Card replenishment,3098555.83,3,Planned,Transfer,207.0
115,1,2025-08-10,Property,Mortgage payment,2483635.9,3,Routine,Cash,201.0
116,1,2023-04-05,Property,Mortgage payment,2212008.59,3,Planned,Card,201.0
117,1,2023-05-05,Education,Student loan payment,1542688.79,4,Rational,Cash,205.0
118,1,2023-09-23,Auto,Auto loan installment,3631913.69,3,Routine,Cash,202.0
119,1,2023-12-10,Healthcare,Insurance payment,3224817.5,4,Routine,Transfer,208.0
120,1,2025-02-15,Card,Card replenishment,333703.95,5,Planned,Cash,207.0
121,1,2023-05-06,Property,Mortgage payment,4974470.41,4,Planned,Cash,201.0
