user_product_id,user_id,product_id,start_date,end_date,status,balance,monthly_payment,payment_progress,last_payment_date
7001,1,203,2020-07-11,2021-07-06,Completed,16605659,638679.19,1.0,2022-04-05
7002,2,202,2023-02-21,2025-02-10,Completed,7845846,212049.89,1.0,2024-07-23
7003,3,208,2022-09-13,2027-08-18,Completed,3551782,443972.75,1.0,2023-06-02
7004,3,203,2020-07-05,2021-06-30,Active,9715133,202398.6,0.15,2020-10-25
7005,4,203,2021-12-12,2031-10-21,Completed,16093052,365751.18,1.0,2022-10-19
7006,5,207,2022-07-30,2023-01-26,Active,331071,6419.89,0.74,2024-12-13
7007,5,206,2021-02-20,2022-08-14,Completed,762727,10511.77,1.0,2023-06-09
7008,6,202,2023-05-11,2026-04-25,Active,5919744,197324.8,0.74,2024-05-08
7009,6,205,2021-01-09,2030-11-18,Completed,1019641,78433.92,1.0,2023-01-25
7010,6,208,2020-04-21,2023-04-06,Active,203242,20324.2,0.69,2021-07-29
7011,7,206,2023-05-05,2033-03-13,Active,1803477,73519.5,0.3,2023-08-18
7012,7,202,2022-03-19,2025-03-03,Completed,8128781,165893.49,1.0,2023-08-19
7013,7,204,2023-05-15,2025-05-04,Active,518986,23590.27,0.55,2025-03-08
7014,8,206,2020-12-22,2022-06-15,Completed,1967981,92380.16,1.0,2021-12-22
7015,8,207,2020-01-24,2029-12-02,Completed,158789,4273.63,1.0,2020-08-09
7016,9,202,2020-11-25,2022-11-15,Completed,9912294,225279.41,1.0,2022-05-29
7017,9,207,2023-08-04,2026-07-19,Completed,322802,6350.04,1.0,2024-01-28
7018,10,201,2021-02-27,2024-02-12,Completed,9866225,93964.05,1.0,2023-06-20
7019,10,205,2020-04-17,2025-03-22,Active,707946,101135.14,0.29,2022-07-01
7020,11,208,2022-08-18,2027-07-23,Active,1002318,100231.8,0.36,2024-02-24
7021,11,205,2022-09-12,2024-03-05,Active,861514,50677.29,0.69,2024-08-29
7022,11,204,2020-08-05,2021-07-31,Active,1798009,119867.27,0.95,2022-03-14
7023,12,204,2023-03-16,2024-03-10,Completed,486866,34776.14,1.0,2023-05-17
7024,13,208,2023-06-02,2024-11-23,Completed,428981,42898.1,1.0,2025-02-22
7025,14,201,2023-01-11,2032-11-19,Active,12365075,53761.2,0.95,2025-03-26
7026,14,208,2020-07-25,2022-07-15,Completed,3196261,532710.17,1.0,2022-11-23
7027,14,202,2024-09-03,2029-08-08,Active,1467445,36686.12,0.86,2026-01-25
7028,15,207,2024-05-25,2025-11-16,Completed,379354,5413.94,1.0,2024-11-15
7029,16,208,2020-11-08,2023-10-24,Active,2412409,201034.08,0.24,2022-02-09
7030,16,201,2023-12-05,2028-11-08,Active,39562734,188393.97,0.47,2024-06-28
7031,16,207,2020-10-25,2022-04-18,Completed,259157,2838.51,1.0,2021-11-24
7032,17,208,2023-08-03,2026-07-18,Active,4910063,818343.83,0.59,2025-08-31
7033,17,205,2021-08-13,2024-07-28,Active,206194,13746.27,0.36,2021-12-03
7034,18,202,2023-04-13,2026-03-28,Completed,5964381,132541.8,1.0,2024-06-18
7035,18,207,2022-05-21,2022-11-17,Completed,182131,5355.96,1.0,2023-07-14
7036,19,201,2021-09-15,2024-08-30,Active,18696482,214902.09,0.31,2022-10-31
7037,19,202,2024-04-14,2025-10-06,Active,3722739,64185.16,0.32,2025-04-05
7038,20,201,2023-09-27,2025-09-16,Completed,19310098,182170.74,1.0,2024-08-24
7039,20,201,2024-04-26,2024-10-23,Active,12014106,55620.86,0.41,2025-01-08
7040,20,205,2022-08-11,2023-02-07,Active,1294342,161792.75,0.48,2023-11-18
7041,21,208,2023-02-04,2025-01-24,Active,228662,28582.75,0.24,2023-07-17
7042,22,202,2023-05-21,2024-11-11,Completed,5466379,195227.82,1.0,2025-10-26
7043,23,204,2023-12-17,2028-11-20,Completed,1527543,254590.5,1.0,2025-03-10
7044,23,201,2020-05-05,2020-11-01,Completed,37550966,298023.54,1.0,2022-01-31
7045,23,203,2022-10-24,2023-10-19,Completed,10426681,359540.72,1.0,2023-07-15
7046,24,202,2021-03-08,2022-03-03,Completed,5892812,168366.06,1.0,2023-04-18
7047,24,204,2020-09-25,2023-09-10,Completed,1250545,113685.91,1.0,2023-02-14
